"list","item_1_condition","field_1_1","item_2_condition","field_2_1","item_3_condition","field_3_1","item_4_condition","field_4_1","item_5_condition","field_5_1"
477,"experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=690-acceptability=1","Might the teenagers clearly examine the newspaper articles?","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=0-npi_present=1-paradigm=607-acceptability=0","The adults ever do imagine that some cafes resemble the boy.","experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=1029-acceptability=1","While the teenagers hate the waiters, the guy will go to the college campuses.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=1-npi_present=1-paradigm=667-acceptability=0","While the customers ever discuss the teenagers, the doctors will talk to the people."
478,"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=0-npi_present=1-paradigm=607-acceptability=0","The adults ever do imagine that some cafes resemble the boy.","experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=1029-acceptability=1","While the teenagers hate the waiters, the guy will go to the college campuses.","experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=1-npi_present=1-paradigm=667-acceptability=0","While the customers ever discuss the teenagers, the doctors will talk to the people.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=690-acceptability=1","Might the teenagers clearly examine the newspaper articles?"
479,"experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=1029-acceptability=1","While the teenagers hate the waiters, the guy will go to the college campuses.","experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=690-acceptability=1","Might the teenagers clearly examine the newspaper articles?","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=0-npi_present=1-paradigm=607-acceptability=0","The adults ever do imagine that some cafes resemble the boy.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=1029-acceptability=1","While the teenagers hate the waiters, the guy will go to the college campuses."
480,"experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=1-npi_present=1-paradigm=667-acceptability=0","While the customers ever discuss the teenagers, the doctors will talk to the people.","experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=1-npi_present=1-paradigm=667-acceptability=0","While the customers ever discuss the teenagers, the doctors will talk to the people.","experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=690-acceptability=1","Might the teenagers clearly examine the newspaper articles?","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=0-npi_present=1-paradigm=607-acceptability=0","The adults ever do imagine that some cafes resemble the boy."
481,"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=0-npi_present=0-paradigm=5111-acceptability=1","The patients imagine that some documentaries have won.","experiment=NPI-env=adverbs-npi=ever-crucial_item=sometimes-licensor=0-scope=0-npi_present=0-paradigm=94-acceptability=1","The customers fortunately thought that the cashiers sometimes escaped from an alumnus.","experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=0-npi_present=1-paradigm=1917-acceptability=0","While the cashiers return to the students, the guests will approach any boys.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=1-npi_present=0-paradigm=5923-acceptability=1","The cashiers had really said that the glasses had shrunk."
482,"experiment=NPI-env=adverbs-npi=ever-crucial_item=sometimes-licensor=0-scope=0-npi_present=0-paradigm=94-acceptability=1","The customers fortunately thought that the cashiers sometimes escaped from an alumnus.","experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=0-npi_present=1-paradigm=1917-acceptability=0","While the cashiers return to the students, the guests will approach any boys.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=1-npi_present=0-paradigm=5923-acceptability=1","The cashiers had really said that the glasses had shrunk.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=0-npi_present=0-paradigm=5111-acceptability=1","The patients imagine that some documentaries have won."
483,"experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=0-npi_present=1-paradigm=1917-acceptability=0","While the cashiers return to the students, the guests will approach any boys.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=0-npi_present=0-paradigm=5111-acceptability=1","The patients imagine that some documentaries have won.","experiment=NPI-env=adverbs-npi=ever-crucial_item=sometimes-licensor=0-scope=0-npi_present=0-paradigm=94-acceptability=1","The customers fortunately thought that the cashiers sometimes escaped from an alumnus.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=0-npi_present=1-paradigm=1917-acceptability=0","While the cashiers return to the students, the guests will approach any boys."
484,"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=1-npi_present=0-paradigm=5923-acceptability=1","The cashiers had really said that the glasses had shrunk.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=1-npi_present=0-paradigm=5923-acceptability=1","The cashiers had really said that the glasses had shrunk.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=0-npi_present=0-paradigm=5111-acceptability=1","The patients imagine that some documentaries have won.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=ever-crucial_item=sometimes-licensor=0-scope=0-npi_present=0-paradigm=94-acceptability=1","The customers fortunately thought that the cashiers sometimes escaped from an alumnus."
485,"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=none of the-licensor=1-scope=1-npi_present=0-paradigm=814-acceptability=1","None of the actors would clearly think that the ladies did leave the teacher.","experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=0-npi_present=0-paradigm=1870-acceptability=1","While the dancer talks about the schools, the child will bike to those libraries.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=0-npi_present=1-paradigm=5177-acceptability=0","Any men did explain that those plays can not win.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=ever-crucial_item=cheap-licensor=0-scope=0-npi_present=1-paradigm=429-acceptability=0","The guests ever insulted the cheap grocery store that the child had boycotted."
486,"experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=0-npi_present=0-paradigm=1870-acceptability=1","While the dancer talks about the schools, the child will bike to those libraries.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=0-npi_present=1-paradigm=5177-acceptability=0","Any men did explain that those plays can not win.","experiment=NPI-env=superlative-npi=ever-crucial_item=cheap-licensor=0-scope=0-npi_present=1-paradigm=429-acceptability=0","The guests ever insulted the cheap grocery store that the child had boycotted.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=none of the-licensor=1-scope=1-npi_present=0-paradigm=814-acceptability=1","None of the actors would clearly think that the ladies did leave the teacher."
487,"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=0-npi_present=1-paradigm=5177-acceptability=0","Any men did explain that those plays can not win.","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=none of the-licensor=1-scope=1-npi_present=0-paradigm=814-acceptability=1","None of the actors would clearly think that the ladies did leave the teacher.","experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=0-npi_present=0-paradigm=1870-acceptability=1","While the dancer talks about the schools, the child will bike to those libraries.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=0-npi_present=1-paradigm=5177-acceptability=0","Any men did explain that those plays can not win."
488,"experiment=NPI-env=superlative-npi=ever-crucial_item=cheap-licensor=0-scope=0-npi_present=1-paradigm=429-acceptability=0","The guests ever insulted the cheap grocery store that the child had boycotted.","experiment=NPI-env=superlative-npi=ever-crucial_item=cheap-licensor=0-scope=0-npi_present=1-paradigm=429-acceptability=0","The guests ever insulted the cheap grocery store that the child had boycotted.","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=none of the-licensor=1-scope=1-npi_present=0-paradigm=814-acceptability=1","None of the actors would clearly think that the ladies did leave the teacher.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=0-npi_present=0-paradigm=1870-acceptability=1","While the dancer talks about the schools, the child will bike to those libraries."
489,"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=1-npi_present=1-paradigm=1699-acceptability=0","The boys say that the customers are biking to any cafes.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=1-npi_present=1-paradigm=912-acceptability=1","A waitress could not ever explain that the actors would mutter.","experiment=NPI-env=superlative-npi=any-crucial_item=popular-licensor=0-scope=0-npi_present=1-paradigm=1532-acceptability=0","Any guys have described the popular waitress that fish has insulted.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=only-npi=any-crucial_item=even-licensor=0-scope=0-npi_present=0-paradigm=1955-acceptability=1","These waitresses even were observing the waiters."
